user_id,follows_id
0,11216
0,3847
0,1552
0,2521
0,5921
0,13851
0,10420
0,12792
0,11820
0,9363
0,14954
0,2000
0,9049
0,7299
0,10708
0,4459
0,12856
0,12131
0,5460
0,9585
0,14732
0,11449
0,4627
0,14779
0,6093
0,6180
0,10698
0,1939
0,6207
1,13158
1,14204
1,12040
1,12653
1,7019
1,790
1,4180
1,12276
1,9196
1,12760
1,14114
1,11256
1,12097
1,1688
1,2610
1,13001
1,12135
1,1171
1,4537
1,7173
1,3767
1,5928
1,7304
1,11036
1,7177
1,3565
1,11600
1,2386
1,5426
1,1267
1,1904
1,11724
2,572
2,14924
2,12570
2,245
2,13455
2,7234
2,4286
2,4532
2,7147
2,9537
2,13676
2,4628
2,3697
2,9332
2,2201
2,11516
2,1186
2,472
2,6946
2,5033
2,6073
2,9903
2,7646
2,4415
2,7223
2,8005
2,9156
2,12391
2,10903
2,10353
2,2910
2,7204
2,3359
2,12133
2,5712
2,1458
2,14524
2,10884
2,14414
2,1054
2,3503
2,13679
2,2236
2,10978
2,12481
2,13296
3,14418
3,2467
3,10735
3,3034
3,3919
3,8082
3,12896
3,8329
3,13317
3,8393
3,14650
3,11053
3,7944
3,14065
3,9468
3,11934
3,7490
3,9610
3,6961
3,8048
3,13603
3,4766
3,6763
3,7368
3,10433
3,4861
3,1214
3,3259
3,5937
3,4821
3,12003
3,2381
3,6051
3,14649
3,3611
3,5113
3,5221
4,7237
4,4331
4,14174
4,11778
4,9694
5,13997
5,2268
5,5936
5,6196
5,4085
5,7879
5,5833
5,10737
5,12601
5,13550
5,10747
5,7113
5,14304
5,1897
5,11154
5,4047
5,675
5,9323
5,7422
5,11235
5,6484
5,11793
5,5726
6,7875
6,10715
6,6932
6,7405
6,7201
6,466
6,1406
6,2571
6,13651
6,9006
6,3004
6,5854
6,3896
6,5272
6,2094
6,837
6,10861
6,3107
6,5241
6,1824
6,6253
6,5628
6,10041
6,49
6,13315
6,13511
6,2817
6,414
7,1950
7,8568
7,207
7,1915
7,7927
7,11300
7,13743
7,10865
7,12814
7,13365
7,3280
7,9762
7,1413
7,1004
7,7107
7,10944
7,5550
7,3668
7,3752
7,8031
7,5300
7,6261
7,14535
7,8109
7,14955
7,1130
7,12325
7,13136
7,1659
7,11399
7,594
7,13108
7,10656
7,13872
7,8876
7,9125
7,750
7,2882
7,12739
7,7754
7,13432
7,4652
7,8344
7,9099
7,12864
7,169
7,14351
7,6987
8,13070
8,2373
8,3190
8,6097
8,10461
8,12562
8,1640
8,10654
8,4945
8,12135
8,7783
8,11012
8,13202
8,1358
8,9126
8,3872
8,3585
8,7514
8,9291
8,3387
8,7096
8,1388
8,9904
8,13043
8,4939
8,5169
